trial_number,params,mse
1,"{'batch_size': 1024, 'optimizer': 'RMSprop', 'depth': 4, 'width_layer_0': 50, 'width_layer_1': 190, 'width_layer_2': 120, 'width_layer_3': 470}",0.0003672348102554679
2,"{'batch_size': 1024, 'optimizer': 'Adam', 'depth': 3, 'width_layer_0': 300, 'width_layer_1': 160, 'width_layer_2': 10}",0.00036690497654490173
3,"{'batch_size': 512, 'optimizer': 'Adam', 'depth': 3, 'width_layer_0': 340, 'width_layer_1': 340, 'width_layer_2': 140}",0.00036761799128726125
0,"{'batch_size': 256, 'optimizer': 'RMSprop', 'depth': 1, 'width_layer_0': 350}",0.0005915681831538677
5,"{'batch_size': 256, 'optimizer': 'Adam', 'depth': 5, 'width_layer_0': 10, 'width_layer_1': 110, 'width_layer_2': 10, 'width_layer_3': 490, 'width_layer_4': 340}",0.00040997142787091434
6,"{'batch_size': 512, 'optimizer': 'RMSprop', 'depth': 4, 'width_layer_0': 70, 'width_layer_1': 380, 'width_layer_2': 470, 'width_layer_3': 130}",0.00030964461620897055
7,"{'batch_size': 64, 'optimizer': 'RMSprop', 'depth': 4, 'width_layer_0': 350, 'width_layer_1': 200, 'width_layer_2': 20, 'width_layer_3': 450}",0.011791401542723179
4,"{'batch_size': 64, 'optimizer': 'Adam', 'depth': 5, 'width_layer_0': 330, 'width_layer_1': 70, 'width_layer_2': 130, 'width_layer_3': 310, 'width_layer_4': 260}",0.0009404454613104463
9,"{'batch_size': 64, 'optimizer': 'RMSprop', 'depth': 3, 'width_layer_0': 130, 'width_layer_1': 50, 'width_layer_2': 420}",0.0006108425441198051
10,"{'batch_size': 512, 'optimizer': 'Adam', 'depth': 2, 'width_layer_0': 20, 'width_layer_1': 470}",0.00041496739140711725
8,"{'batch_size': 512, 'optimizer': 'RMSprop', 'depth': 5, 'width_layer_0': 360, 'width_layer_1': 250, 'width_layer_2': 390, 'width_layer_3': 460, 'width_layer_4': 100}",0.0001642769348109141
11,"{'batch_size': 64, 'optimizer': 'Adam', 'depth': 2, 'width_layer_0': 10, 'width_layer_1': 180}",0.0005934486398473382
14,"{'batch_size': 512, 'optimizer': 'RMSprop', 'depth': 5, 'width_layer_0': 480, 'width_layer_1': 330, 'width_layer_2': 480, 'width_layer_3': 60, 'width_layer_4': 10}",0.00023865253024268895
12,"{'batch_size': 32, 'optimizer': 'RMSprop', 'depth': 4, 'width_layer_0': 490, 'width_layer_1': 340, 'width_layer_2': 500, 'width_layer_3': 30}",0.0033640144392848015
